#zone, q, logR, logRho, logT, logP, logPgas, luminosity, x_mass_fraction_H, y_mass_fraction_He, z_mass_fraction_metals, gamma1, opacity, pp, cno, gradr, gradT, grada, actual_gradT 
1, 1.0000000000000000E+000, 6.9529652799896602E-001, -8.9157475857787443E+000, 4.4913345217254994E+000, 3.8534708651589598E+000, 3.6819461896921464E+000, 2.0247041893285976E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.4144525056084192E+000, 1.8909506781061394E+000, 1.7804249788570252E-028, 0.0000000000000000E+000, 1.5021485865031040E-001, 1.5021485865031040E-001, 2.6196301247557963E-001, 0.0000000000000000E+000 
2, 9.9999999999949996E-001, 6.9528619093058053E-001, -8.8993579137007366E+000, 4.4937650131827898E+000, 3.8693802418026024E+000, 3.7008208011159223E+000, 2.0247041893285968E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.4118384134638409E+000, 1.9307428322319422E+000, 1.8489032654666231E-028, 0.0000000000000000E+000, 1.5190108732121665E-001, 1.5190108732121665E-001, 2.6147388106021563E-001, 1.5190108726446674E-001 
3, 9.9999999999840350E-001, 6.9526436051762130E-001, -8.8782599335308312E+000, 4.4970981444427736E+000, 3.8903287551955432E+000, 3.7253347361208888E+000, 2.0247041893285947E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.4076986333716490E+000, 1.9836975508826586E+000, 1.9409451957704039E-028, 0.0000000000000000E+000, 1.5914070961470894E-001, 1.5914070961470894E-001, 2.6062802831723370E-001, 1.5914070229815341E-001 
4, 9.9999999999730704E-001, 6.9524356221398875E-001, -8.8565355682312390E+000, 4.5007806273023769E+000, 3.9124591602771539E+000, 3.7508431750224283E+000, 2.0247041893285925E+004, 7.0000000000000007E-001, 2.8000000000000008E-001, 1.9999999999999796E-002, 1.4023205040269846E+000, 2.0404195361570454E+000, 2.0405103526271794E-028, 0.0000000000000000E+000, 1.6608409400353191E-001, 1.6608409400353191E-001, 2.5947857378283584E-001, 1.6608408729826760E-001 
5, 9.9999999999596956E-001, 6.9521942517080526E-001, -8.8344637816790943E+000, 4.5048016098858001E+000, 3.9355524431479330E+000, 3.7770598490265659E+000, 2.0247041893285896E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.3954907422684844E+000, 2.1005268613090888E+000, 2.1468999320192392E-028, 0.0000000000000000E+000, 1.7415891803657091E-001, 1.7415891803657091E-001, 2.5797512545394358E-001, 1.7415892209496148E-001 
6, 9.9999999999463207E-001, 6.9519648044333671E-001, -8.8140502494700481E+000, 4.5087883467136090E+000, 3.9574840288974942E+000, 3.8016013220970528E+000, 2.0247041893285870E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.3879328287181472E+000, 2.1584803974316622E+000, 2.2502277920119671E-028, 0.0000000000000000E+000, 1.8181794688683842E-001, 1.8181794688683842E-001, 2.5622187741520880E-001, 1.8181795323639968E-001 
7, 9.9999999999329459E-001, 6.9517458586274417E-001, -8.7951000204985696E+000, 4.5127356026929117E+000, 3.9783652339990900E+000, 3.8246630133869206E+000, 2.0247041893285841E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.3798485577450115E+000, 2.2143859563478108E+000, 2.3505949839269712E-028, 0.0000000000000000E+000, 1.8906903308904044E-001, 1.8906903308904044E-001, 2.5423363473662614E-001, 1.8906903017121557E-001 
8, 9.9999999999195710E-001, 6.9515362299532257E-001, -8.7784282112405911E+000, 4.5164159615353077E+000, 3.9971725081453848E+000, 3.8451936992616949E+000, 2.0247041893285812E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.3718513163566814E+000, 2.2652594289809995E+000, 2.4425901125126144E-028, 0.0000000000000000E+000, 1.9592498299557698E-001, 1.9592498299557698E-001, 2.5217782367049713E-001, 1.9592497015244648E-001 
9, 9.9999999999077316E-001, 6.9513576352423945E-001, -8.7637157538888868E+000, 4.5198343319016887E+000, 4.0141249587469607E+000, 3.8635126740125130E+000, 2.0247041893285787E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.3640704006402014E+000, 2.3114382894307695E+000, 2.5267596506602193E-028, 0.0000000000000000E+000, 2.0166918901258477E-001, 2.0166918901258477E-001, 2.5011862845920724E-001, 2.0166917630699019E-001 
10, 9.9999999998958922E-001, 6.9511849684485916E-001, -8.7431834037780476E+000, 4.5248930216389942E+000, 4.0383777272328452E+000, 3.8894201919774831E+000, 2.0247041893285765E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.3520473235343677E+000, 2.3777638925801861E+000, 2.6490950304559100E-028, 0.0000000000000000E+000, 2.0709450970268914E-001, 2.0709450970268914E-001, 2.4685667025251268E-001, 2.0709450942705160E-001 
