# zone  xi   theta  dtheta/dxi
0   0.006136      0.999994      -0.002045
1   0.012272      0.999981      -0.002045
2   0.018408      0.999969      -0.003636
3   0.024544      0.999946      -0.005497
4   0.030680      0.999913      -0.007444
5   0.036816      0.999867      -0.009430
6   0.042951      0.999809      -0.011435
7   0.049087      0.999739      -0.013452
8   0.055223      0.999656      -0.015475
9   0.061359      0.999561      -0.017502
10   0.067495      0.999454      -0.019532
11   0.073631      0.999334      -0.021564
12   0.079767      0.999202      -0.023597
13   0.085903      0.999057      -0.025631
14   0.092039      0.998900      -0.027665
15   0.098175      0.998730      -0.029699
16   0.104311      0.998548      -0.031733
17   0.110447      0.998353      -0.033766
18   0.116583      0.998146      -0.035799
19   0.122718      0.997926      -0.037830
20   0.128854      0.997694      -0.039861
21   0.134990      0.997450      -0.041892
22   0.141126      0.997192      -0.043920
23   0.147262      0.996923      -0.045948
24   0.153398      0.996641      -0.047975
25   0.159534      0.996347      -0.050000
26   0.165670      0.996040      -0.052023
27   0.171806      0.995721      -0.054045
28   0.177942      0.995389      -0.056066
29   0.184078      0.995045      -0.058084
30   0.190214      0.994689      -0.060101
31   0.196350      0.994320      -0.062116
32   0.202485      0.993939      -0.064129
33   0.208621      0.993545      -0.066140
34   0.214757      0.993139      -0.068149
35   0.220893      0.992721      -0.070156
36   0.227029      0.992291      -0.072160
37   0.233165      0.991848      -0.074162
38   0.239301      0.991393      -0.076162
39   0.245437      0.990926      -0.078159
40   0.251573      0.990446      -0.080154
41   0.257709      0.989954      -0.082146
42   0.263845      0.989450      -0.084136
43   0.269981      0.988934      -0.086123
44   0.276117      0.988405      -0.088107
45   0.282252      0.987865      -0.090088
46   0.288388      0.987312      -0.092066
47   0.294524      0.986747      -0.094041
48   0.300660      0.986170      -0.096013
49   0.306796      0.985581      -0.097982
50   0.312932      0.984980      -0.099948
51   0.319068      0.984367      -0.101911
52   0.325204      0.983741      -0.103870
53   0.331340      0.983104      -0.105826
54   0.337476      0.982455      -0.107778
55   0.343612      0.981793      -0.109727
56   0.349748      0.981120      -0.111672
57   0.355884      0.980435      -0.113614
58   0.362019      0.979738      -0.115551
59   0.368155      0.979029      -0.117486
60   0.374291      0.978308      -0.119416
61   0.380427      0.977575      -0.121342
62   0.386563      0.976830      -0.123264
63   0.392699      0.976074      -0.125183
64   0.398835      0.975306      -0.127097
65   0.404971      0.974526      -0.129007
66   0.411107      0.973735      -0.130913
67   0.417243      0.972931      -0.132814
68   0.423379      0.972116      -0.134712
69   0.429515      0.971290      -0.136605
70   0.435651      0.970452      -0.138493
71   0.441786      0.969602      -0.140377
72   0.447922      0.968740      -0.142256
73   0.454058      0.967868      -0.144131
74   0.460194      0.966983      -0.146001
75   0.466330      0.966087      -0.147866
76   0.472466      0.965180      -0.149726
77   0.478602      0.964261      -0.151582
78   0.484738      0.963331      -0.153432
79   0.490874      0.962390      -0.155278
80   0.497010      0.961437      -0.157118
81   0.503146      0.960473      -0.158954
82   0.509282      0.959498      -0.160784
83   0.515418      0.958511      -0.162609
84   0.521553      0.957513      -0.164429
85   0.527689      0.956504      -0.166243
86   0.533825      0.955484      -0.168052
87   0.539961      0.954453      -0.169856
88   0.546097      0.953411      -0.171654
89   0.552233      0.952358      -0.173447
90   0.558369      0.951293      -0.175234
91   0.564505      0.950218      -0.177015
92   0.570641      0.949132      -0.178791
93   0.576777      0.948035      -0.180560
94   0.582913      0.946927      -0.182325
95   0.589049      0.945808      -0.184083
96   0.595185      0.944679      -0.185835
97   0.601320      0.943539      -0.187581
98   0.607456      0.942388      -0.189321
99   0.613592      0.941226      -0.191056
100   0.619728      0.940054      -0.192784
101   0.625864      0.938871      -0.194506
102   0.632000      0.937677      -0.196221
103   0.638136      0.936473      -0.197931
104   0.644272      0.935259      -0.199634
105   0.650408      0.934034      -0.201330
106   0.656544      0.932799      -0.203021
107   0.662680      0.931553      -0.204704
108   0.668816      0.930297      -0.206382
109   0.674952      0.929030      -0.208052
110   0.681087      0.927754      -0.209716
111   0.687223      0.926467      -0.211374
112   0.693359      0.925170      -0.213025
113   0.699495      0.923863      -0.214669
114   0.705631      0.922546      -0.216306
115   0.711767      0.921219      -0.217936
116   0.717903      0.919881      -0.219560
117   0.724039      0.918534      -0.221176
118   0.730175      0.917177      -0.222786
119   0.736311      0.915810      -0.224388
120   0.742447      0.914433      -0.225984
121   0.748583      0.913047      -0.227572
122   0.754719      0.911650      -0.229153
123   0.760854      0.910244      -0.230728
124   0.766990      0.908828      -0.232294
125   0.773126      0.907403      -0.233854
126   0.779262      0.905968      -0.235406
127   0.785398      0.904524      -0.236951
128   0.791534      0.903070      -0.238489
129   0.797670      0.901606      -0.240019
130   0.803806      0.900134      -0.241542
131   0.809942      0.898652      -0.243057
132   0.816078      0.897160      -0.244564
133   0.822214      0.895660      -0.246064
134   0.828350      0.894150      -0.247557
135   0.834486      0.892631      -0.249042
136   0.840621      0.891103      -0.250519
137   0.846757      0.889566      -0.251988
138   0.852893      0.888019      -0.253450
139   0.859029      0.886464      -0.254903
140   0.865165      0.884900      -0.256349
141   0.871301      0.883327      -0.257788
142   0.877437      0.881745      -0.259218
143   0.883573      0.880155      -0.260640
144   0.889709      0.878556      -0.262054
145   0.895845      0.876948      -0.263461
146   0.901981      0.875331      -0.264859
147   0.908117      0.873706      -0.266249
148   0.914253      0.872072      -0.267632
149   0.920388      0.870430      -0.269006
150   0.926524      0.868779      -0.270372
151   0.932660      0.867120      -0.271729
152   0.938796      0.865453      -0.273079
153   0.944932      0.863778      -0.274420
154   0.951068      0.862094      -0.275753
155   0.957204      0.860402      -0.277078
156   0.963340      0.858702      -0.278394
157   0.969476      0.856993      -0.279702
158   0.975612      0.855277      -0.281002
159   0.981748      0.853553      -0.282293
160   0.987884      0.851821      -0.283576
161   0.994020      0.850081      -0.284851
162   1.000155      0.848333      -0.286117
163   1.006291      0.846577      -0.287374
164   1.012427      0.844814      -0.288623
165   1.018563      0.843043      -0.289863
166   1.024699      0.841265      -0.291095
167   1.030835      0.839478      -0.292319
168   1.036971      0.837685      -0.293533
169   1.043107      0.835884      -0.294739
170   1.049243      0.834075      -0.295937
171   1.055379      0.832259      -0.297125
172   1.061515      0.830436      -0.298305
173   1.067651      0.828606      -0.299476
174   1.073787      0.826768      -0.300639
175   1.079922      0.824924      -0.301793
176   1.086058      0.823072      -0.302938
177   1.092194      0.821213      -0.304074
178   1.098330      0.819347      -0.305202
179   1.104466      0.817475      -0.306320
180   1.110602      0.815595      -0.307430
181   1.116738      0.813709      -0.308531
182   1.122874      0.811816      -0.309623
183   1.129010      0.809916      -0.310706
184   1.135146      0.808009      -0.311780
185   1.141282      0.806096      -0.312846
186   1.147418      0.804177      -0.313902
187   1.153554      0.802250      -0.314950
188   1.159689      0.800318      -0.315988
189   1.165825      0.798379      -0.317018
190   1.171961      0.796434      -0.318038
191   1.178097      0.794482      -0.319050
192   1.184233      0.792525      -0.320052
193   1.190369      0.790561      -0.321046
194   1.196505      0.788591      -0.322031
195   1.202641      0.786615      -0.323006
196   1.208777      0.784633      -0.323973
197   1.214913      0.782645      -0.324930
198   1.221049      0.780652      -0.325879
199   1.227185      0.778652      -0.326818
200   1.233321      0.776647      -0.327748
201   1.239456      0.774636      -0.328669
202   1.245592      0.772619      -0.329581
203   1.251728      0.770597      -0.330484
204   1.257864      0.768569      -0.331378
205   1.264000      0.766535      -0.332263
206   1.270136      0.764497      -0.333139
207   1.276272      0.762453      -0.334006
208   1.282408      0.760403      -0.334863
209   1.288544      0.758349      -0.335711
210   1.294680      0.756289      -0.336551
211   1.300816      0.754224      -0.337381
212   1.306952      0.752153      -0.338202
213   1.313088      0.750078      -0.339014
214   1.319223      0.747998      -0.339816
215   1.325359      0.745913      -0.340610
216   1.331495      0.743823      -0.341394
217   1.337631      0.741728      -0.342170
218   1.343767      0.739629      -0.342936
219   1.349903      0.737525      -0.343693
220   1.356039      0.735416      -0.344441
221   1.362175      0.733302      -0.345180
222   1.368311      0.731184      -0.345910
223   1.374447      0.729062      -0.346630
224   1.380583      0.726935      -0.347342
225   1.386719      0.724804      -0.348044
226   1.392855      0.722668      -0.348737
227   1.398990      0.720528      -0.349422
228   1.405126      0.718384      -0.350097
229   1.411262      0.716236      -0.350763
230   1.417398      0.714084      -0.351419
231   1.423534      0.711927      -0.352067
232   1.429670      0.709767      -0.352706
233   1.435806      0.707603      -0.353336
234   1.441942      0.705435      -0.353956
235   1.448078      0.703263      -0.354568
236   1.454214      0.701087      -0.355170
