zone,xi,theta,dtheta/dxi
0,0.006136,0.999994,-0.002045
1,0.012272,0.999981,-0.002045
2,0.018408,0.999969,-0.003636
3,0.024544,0.999946,-0.005496
4,0.030680,0.999913,-0.007444
5,0.036816,0.999867,-0.009429
6,0.042951,0.999809,-0.011434
7,0.049087,0.999739,-0.013449
8,0.055223,0.999656,-0.015471
9,0.061359,0.999561,-0.017496
10,0.067495,0.999454,-0.019524
11,0.073631,0.999334,-0.021553
12,0.079767,0.999202,-0.023583
13,0.085903,0.999057,-0.025612
14,0.092039,0.998900,-0.027641
15,0.098175,0.998731,-0.029669
16,0.104311,0.998549,-0.031696
17,0.110447,0.998354,-0.033721
18,0.116583,0.998147,-0.035745
19,0.122718,0.997928,-0.037767
20,0.128854,0.997696,-0.039786
21,0.134990,0.997452,-0.041804
22,0.141126,0.997195,-0.043819
23,0.147262,0.996927,-0.045831
24,0.153398,0.996645,-0.047841
25,0.159534,0.996352,-0.049848
26,0.165670,0.996046,-0.051852
27,0.171806,0.995728,-0.053852
28,0.177942,0.995397,-0.055849
29,0.184078,0.995055,-0.057843
30,0.190214,0.994700,-0.059833
31,0.196350,0.994333,-0.061819
32,0.202485,0.993953,-0.063801
33,0.208621,0.993562,-0.065780
34,0.214757,0.993158,-0.067754
35,0.220893,0.992742,-0.069723
36,0.227029,0.992315,-0.071689
37,0.233165,0.991875,-0.073649
38,0.239301,0.991423,-0.075605
39,0.245437,0.990959,-0.077557
40,0.251573,0.990483,-0.079503
41,0.257709,0.989995,-0.081444
42,0.263845,0.989496,-0.083380
43,0.269981,0.988984,-0.085310
44,0.276117,0.988460,-0.087235
45,0.282252,0.987925,-0.089155
46,0.288388,0.987378,-0.091069
47,0.294524,0.986819,-0.092976
48,0.300660,0.986249,-0.094879
49,0.306796,0.985667,-0.096774
50,0.312932,0.985073,-0.098664
51,0.319068,0.984468,-0.100548
52,0.325204,0.983851,-0.102425
53,0.331340,0.983222,-0.104296
54,0.337476,0.982582,-0.106160
55,0.343612,0.981931,-0.108017
56,0.349748,0.981268,-0.109867
57,0.355884,0.980594,-0.111711
58,0.362019,0.979908,-0.113547
59,0.368155,0.979212,-0.115376
60,0.374291,0.978504,-0.117198
61,0.380427,0.977785,-0.119013
62,0.386563,0.977054,-0.120820
63,0.392699,0.976313,-0.122620
64,0.398835,0.975561,-0.124412
65,0.404971,0.974797,-0.126196
66,0.411107,0.974023,-0.127972
67,0.417243,0.973238,-0.129740
68,0.423379,0.972442,-0.131501
69,0.429515,0.971635,-0.133253
70,0.435651,0.970817,-0.134997
71,0.441786,0.969989,-0.136732
72,0.447922,0.969150,-0.138459
73,0.454058,0.968300,-0.140178
74,0.460194,0.967440,-0.141888
75,0.466330,0.966569,-0.143589
76,0.472466,0.965688,-0.145282
77,0.478602,0.964797,-0.146965
78,0.484738,0.963895,-0.148640
79,0.490874,0.962983,-0.150306
80,0.497010,0.962061,-0.151962
81,0.503146,0.961128,-0.153610
82,0.509282,0.960186,-0.155248
83,0.515418,0.959233,-0.156877
84,0.521553,0.958271,-0.158496
85,0.527689,0.957298,-0.160106
86,0.533825,0.956316,-0.161707
87,0.539961,0.955324,-0.163298
88,0.546097,0.954322,-0.164879
89,0.552233,0.953310,-0.166450
90,0.558369,0.952289,-0.168012
91,0.564505,0.951258,-0.169564
92,0.570641,0.950217,-0.171106
93,0.576777,0.949167,-0.172637
94,0.582913,0.948108,-0.174159
95,0.589049,0.947039,-0.175671
96,0.595185,0.945962,-0.177172
97,0.601320,0.944874,-0.178663
98,0.607456,0.943778,-0.180144
99,0.613592,0.942673,-0.181615
100,0.619728,0.941558,-0.183075
101,0.625864,0.940435,-0.184525
102,0.632000,0.939303,-0.185964
103,0.638136,0.938162,-0.187393
104,0.644272,0.937012,-0.188811
105,0.650408,0.935853,-0.190218
106,0.656544,0.934686,-0.191615
107,0.662680,0.933511,-0.193001
108,0.668816,0.932326,-0.194377
109,0.674952,0.931134,-0.195741
110,0.681087,0.929933,-0.197095
111,0.687223,0.928723,-0.198438
112,0.693359,0.927506,-0.199770
113,0.699495,0.926280,-0.201091
114,0.705631,0.925046,-0.202401
115,0.711767,0.923804,-0.203700
116,0.717903,0.922554,-0.204988
117,0.724039,0.921296,-0.206265
118,0.730175,0.920031,-0.207530
119,0.736311,0.918757,-0.208785
120,0.742447,0.917476,-0.210029
121,0.748583,0.916188,-0.211261
122,0.754719,0.914891,-0.212482
123,0.760854,0.913588,-0.213692
124,0.766990,0.912276,-0.214891
125,0.773126,0.910958,-0.216079
126,0.779262,0.909632,-0.217255
127,0.785398,0.908299,-0.218420
128,0.791534,0.906959,-0.219574
129,0.797670,0.905611,-0.220716
130,0.803806,0.904257,-0.221847
131,0.809942,0.902896,-0.222967
132,0.816078,0.901528,-0.224076
133,0.822214,0.900153,-0.225173
134,0.828350,0.898771,-0.226258
135,0.834486,0.897383,-0.227333
136,0.840621,0.895988,-0.228396
137,0.846757,0.894587,-0.229448
138,0.852893,0.893179,-0.230488
139,0.859029,0.891764,-0.231517
140,0.865165,0.890344,-0.232535
141,0.871301,0.888917,-0.233541
142,0.877437,0.887484,-0.234536
143,0.883573,0.886045,-0.235519
144,0.889709,0.884600,-0.236492
145,0.895845,0.883149,-0.237452
146,0.901981,0.881692,-0.238402
147,0.908117,0.880229,-0.239340
148,0.914253,0.878760,-0.240267
149,0.920388,0.877286,-0.241183
150,0.926524,0.875806,-0.242087
151,0.932660,0.874321,-0.242980
152,0.938796,0.872830,-0.243862
153,0.944932,0.871334,-0.244732
154,0.951068,0.869832,-0.245592
155,0.957204,0.868325,-0.246440
156,0.963340,0.866813,-0.247277
157,0.969476,0.865296,-0.248102
158,0.975612,0.863773,-0.248917
159,0.981748,0.862246,-0.249720
160,0.987884,0.860714,-0.250512
161,0.994020,0.859177,-0.251294
162,1.000155,0.857635,-0.252064
163,1.006291,0.856088,-0.252823
164,1.012427,0.854537,-0.253571
165,1.018563,0.852981,-0.254308
166,1.024699,0.851420,-0.255034
167,1.030835,0.849855,-0.255749
168,1.036971,0.848286,-0.256453
169,1.043107,0.846713,-0.257146
170,1.049243,0.845135,-0.257829
171,1.055379,0.843553,-0.258500
172,1.061515,0.841967,-0.259161
173,1.067651,0.840376,-0.259811
174,1.073787,0.838782,-0.260451
175,1.079922,0.837184,-0.261080
176,1.086058,0.835582,-0.261698
177,1.092194,0.833976,-0.262305
178,1.098330,0.832367,-0.262902
179,1.104466,0.830754,-0.263488
180,1.110602,0.829137,-0.264064
181,1.116738,0.827517,-0.264629
182,1.122874,0.825893,-0.265184
183,1.129010,0.824266,-0.265729
184,1.135146,0.822635,-0.266263
185,1.141282,0.821002,-0.266787
186,1.147418,0.819365,-0.267301
187,1.153554,0.817725,-0.267804
188,1.159689,0.816081,-0.268297
189,1.165825,0.814435,-0.268780
190,1.171961,0.812786,-0.269253
191,1.178097,0.811134,-0.269716
192,1.184233,0.809479,-0.270169
193,1.190369,0.807821,-0.270612
194,1.196505,0.806161,-0.271046
195,1.202641,0.804497,-0.271469
196,1.208777,0.802832,-0.271882
197,1.214913,0.801164,-0.272286
198,1.221049,0.799493,-0.272680
199,1.227185,0.797820,-0.273064
200,1.233321,0.796144,-0.273439
201,1.239456,0.794466,-0.273804
202,1.245592,0.792786,-0.274160
203,1.251728,0.791104,-0.274506
204,1.257864,0.789420,-0.274843
205,1.264000,0.787733,-0.275171
206,1.270136,0.786045,-0.275489
207,1.276272,0.784354,-0.275798
208,1.282408,0.782662,-0.276097
209,1.288544,0.780968,-0.276388
210,1.294680,0.779272,-0.276669
211,1.300816,0.777575,-0.276942
212,1.306952,0.775875,-0.277205
213,1.313088,0.774174,-0.277460
214,1.319223,0.772472,-0.277705
215,1.325359,0.770768,-0.277942
216,1.331495,0.769063,-0.278170
217,1.337631,0.767356,-0.278389
218,1.343767,0.765648,-0.278600
219,1.349903,0.763938,-0.278802
220,1.356039,0.762227,-0.278996
221,1.362175,0.760515,-0.279181
222,1.368311,0.758802,-0.279357
223,1.374447,0.757088,-0.279526
224,1.380583,0.755373,-0.279685
225,1.386719,0.753657,-0.279837
226,1.392855,0.751940,-0.279981
227,1.398990,0.750222,-0.280116
228,1.405126,0.748503,-0.280243
229,1.411262,0.746784,-0.280362
230,1.417398,0.745063,-0.280474
231,1.423534,0.743342,-0.280577
232,1.429670,0.741621,-0.280672
233,1.435806,0.739899,-0.280760
234,1.441942,0.738176,-0.280840
235,1.448078,0.736453,-0.280912
236,1.454214,0.734729,-0.280977
